shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
391041,41.405926,27.364701,18
391041,41.405249,27.36434,19
391041,41.404411,27.363964,20
391041,41.403774,27.363655,21
391041,41.404165,27.36273,22
391041,41.40477,27.3611,23
391041,41.405006,27.360538,24
391041,41.405441,27.359304,25
391041,41.405548,27.359068,26
391041,41.405748,27.357498,27
391041,41.405917,27.356986,28
391041,41.406593,27.355197,29
391041,41.406725,27.354918,30
391041,41.407166,27.355207,31
391041,41.408869,27.356572,32
391041,41.409128,27.355935,33
391041,41.409227,27.355893,34
391041,41.409198,27.355266,35
391041,41.409092,27.354468,36
391041,41.409099,27.354141,37
391041,41.409289,27.353878,38
391041,41.409031,27.353528,39
391041,41.409144,27.352941,40
391041,41.409221,27.352404,41
391041,41.409226,27.352017,42
391041,41.408481,27.349376,43
391041,41.408453,27.349004,44
391041,41.408328,27.348654,45
391041,41.407634,27.347812,46
391041,41.407568,27.346905,47
391041,41.407113,27.347042,48
391041,41.406858,27.347435,49
391041,41.406689,27.347858,50
391041,41.406,27.347773,51
391041,41.405155,27.347768,52
391041,41.404439,27.347727,53
391041,41.40345,27.347467,54
391041,41.402397,27.346778,55
391041,41.401404,27.346153,56
391041,41.400431,27.345464,57
391080,41.400386,27.345437,1
391080,41.400484,27.345422,2
391080,41.400592,27.345434,3
391080,41.40077,27.345522,4
391080,41.401016,27.345683,5
391080,41.401119,27.345779,6
391080,41.401262,27.346054,7
391080,41.40193,27.343972,8
391080,41.40289,27.344491,9
391080,41.403875,27.345098,10
391080,41.40346,27.347449,11
391080,41.404198,27.347678,12
391080,41.404383,27.346699,13
391080,41.403879,27.346536,14
391080,41.403696,27.347232,15
391080,41.404207,27.347138,16
391080,41.404242,27.347667,17
391080,41.405392,27.347772,18
391080,41.406009,27.347794,19
391080,41.406684,27.347849,20
391080,41.405644,27.350977,21
391080,41.405312,27.352043,22
391080,41.404781,27.353276,23
391080,41.403568,27.355583,24
391080,41.403564,27.355683,25
391080,41.404292,27.35582,26
391080,41.4041,27.359986,27
391080,41.404031,27.360227,28
391080,41.404029,27.36097,29
391080,41.40395,27.362476,30
391080,41.403887,27.363341,31
391080,41.403562,27.36432,32
391080,41.403075,27.365618,33
391080,41.402966,27.36568,34
391080,41.4029,27.365675,35
391080,41.402742,27.365587,36
391080,41.402676,27.365531,37
391080,41.402615,27.365524,38
391080,41.402509,27.365563,39
391080,41.402396,27.365705,40
391080,41.402309,27.365726,41
391080,41.402029,27.365749,42
391080,41.401184,27.365496,43
391080,41.400243,27.365179,44
391080,41.399964,27.365103,45
391080,41.399559,27.367617,46
391080,41.399223,27.369995,47
391080,41.398936,27.369896,48
391080,41.396921,27.369002,49
391080,41.396116,27.36857,50
391080,41.395881,27.368468,51
391080,41.395392,27.368211,52
391080,41.395251,27.368099,53
391080,41.394285,27.367068,54
391080,41.393783,27.367599,55
391080,41.393,27.368366,56
391080,41.392157,27.369065,57
391080,41.390297,27.370521,58
391080,41.389296,27.371169,59
391080,41.390396,27.373163,60
391080,41.391264,27.374587,61
391031,41.357357,27.326378,1
391031,41.356883,27.326202,2
391031,41.35599,27.325635,3
391031,41.35577,27.325675,4
391031,41.355637,27.325743,5
391031,41.355393,27.325987,6
391031,41.355517,27.326327,7
391031,41.355578,27.327954,8
391031,41.355647,27.32923,9
391031,41.355674,27.330347,10
391031,41.355691,27.332145,11
391031,41.355743,27.333282,12
391031,41.356527,27.334175,13
391031,41.356978,27.334653,14
391031,41.357172,27.334969,15
391031,41.357426,27.335101,16
391031,41.359097,27.33574,17
391031,41.361564,27.336766,18
391031,41.362445,27.337096,19
391031,41.364155,27.337772,20
391031,41.368706,27.339432,21
391031,41.375915,27.34213,22
391031,41.378036,27.342966,23
391031,41.378847,27.34334,24
391031,41.382805,27.345589,25
391031,41.383892,27.346153,26
391031,41.387101,27.347912,27
391031,41.389662,27.349408,28
391031,41.39012,27.349644,29
391031,41.391213,27.350271,30
391031,41.393076,27.351256,31
391031,41.3949,27.352247,32
391031,41.396637,27.352943,33
391031,41.399035,27.353871,34
391031,41.400126,27.354258,35
391031,41.401132,27.354705,36
391031,41.40208,27.355043,37
391031,41.402849,27.355268,38
391031,41.403594,27.355637,39
391031,41.404546,27.355806,40
391031,41.405122,27.355685,41
391031,41.405702,27.355677,42
391031,41.406389,27.355632,43
391031,41.406581,27.355262,44
391031,41.406711,27.354921,45
391031,41.407504,27.355479,46
391031,41.408851,27.356576,47
391031,41.40917,27.355901,48
391031,41.40923,27.355818,49
391031,41.409078,27.354249,50
391031,41.40928,27.353865,51
391031,41.409037,27.353508,52
391031,41.409181,27.352705,53
391031,41.409229,27.352104,54
391031,41.408522,27.349578,55
391031,41.408414,27.348839,56
391031,41.408301,27.348638,57
391031,41.408113,27.348398,58
391031,41.407707,27.347973,59
391031,41.407595,27.347814,60
391031,41.407552,27.346969,61
391031,41.407201,27.346981,62
391031,41.407032,27.347097,63
391031,41.406673,27.347814,64
391031,41.404672,27.347736,65
391031,41.403648,27.347538,66
391031,41.403448,27.34747,67
391031,41.401492,27.34623,68
391031,41.400393,27.345437,69
391040,41.400425,27.345434,1
391040,41.40063,27.345431,2
391040,41.400882,27.345588,3
391040,41.401124,27.345791,4
391040,41.401256,27.346025,5
391040,41.401928,27.343976,6
391040,41.403873,27.345088,7
391040,41.403402,27.347473,8
391040,41.404301,27.347703,9
391040,41.404174,27.34692,10
391040,41.403745,27.34707,11
391040,41.403969,27.347462,12
391040,41.404323,27.347314,13
391040,41.404359,27.347744,14
391040,41.405914,27.347784,15
391040,41.406687,27.347849,16
391040,41.405319,27.352021,17
391040,41.405065,27.352634,18
391040,41.404465,27.353886,19
391040,41.403724,27.355262,20
391040,41.403556,27.355624,21
391040,41.403916,27.355756,22
391040,41.404283,27.355807,23
391040,41.404115,27.359563,24
391040,41.403934,27.362917,25
391040,41.403822,27.36369,26
391040,41.404981,27.364216,27
391040,41.407217,27.365383,28
391040,41.407733,27.365599,29
391040,41.409027,27.366837,30
391040,41.410351,27.368055,31
391040,41.411328,27.369067,32
391040,41.411987,27.369627,33
391040,41.412175,27.369635,34
391040,41.412898,27.369976,35
391040,41.412934,27.368389,36
391040,41.41298,27.361818,37
391040,41.412966,27.361257,38
391040,41.412829,27.360453,39
391040,41.412745,27.360105,40
391040,41.412563,27.359547,41
391040,41.412729,27.359133,42
391040,41.413189,27.357455,43
391040,41.414413,27.358241,44
391040,41.415525,27.359237,45
391040,41.415273,27.358593,46
391040,41.414827,27.357712,47
391040,41.41396,27.355426,48
391021,41.386693,27.366016,1
391021,41.387337,27.367362,2
391021,41.387455,27.367246,3
391021,41.389942,27.365259,4
391021,41.390247,27.364275,5
391021,41.389225,27.363243,6
391021,41.388995,27.362985,7
391021,41.388375,27.362411,8
391021,41.387941,27.362127,9
391021,41.388035,27.361895,10
391021,41.388387,27.3605,11
391021,41.390564,27.361651,12
391021,41.390938,27.361833,13
391021,41.391247,27.361959,14
391021,41.391578,27.362124,15
391021,41.393646,27.363069,16
391021,41.395433,27.35725,17
391021,41.39572,27.357616,18
391021,41.400075,27.363987,19
391021,41.401742,27.363793,20
391021,41.401617,27.363032,21
391021,41.401517,27.362222,22
391021,41.401096,27.357365,23
391021,41.401062,27.356182,24
391021,41.401111,27.355086,25
391021,41.401197,27.354704,26
391021,41.401332,27.354791,27
391021,41.401807,27.354974,28
391021,41.402082,27.355063,29
391021,41.403926,27.355764,30
391021,41.404484,27.355769,31
391021,41.406411,27.35559,32
391021,41.406523,27.355371,33
391021,41.406744,27.354846,34
391021,41.40766,27.355602,35
391021,41.408859,27.356507,36
391021,41.409227,27.355666,37
391021,41.409145,27.354835,38
391021,41.409089,27.354485,39
391021,41.409082,27.354103,40
391021,41.409031,27.353538,41
391021,41.409215,27.352559,42
391021,41.409205,27.351911,43
391021,41.40899,27.351192,44
391021,41.408375,27.348756,45
391021,41.408132,27.34839,46
391021,41.40763,27.347812,47
391021,41.406974,27.347844,48
391021,41.405867,27.347756,49
391021,41.40506,27.347797,50
391021,41.404755,27.347778,51
391021,41.403525,27.347457,52
391021,41.401792,27.346423,53
391021,41.401079,27.346019,54
391021,41.400735,27.345775,55
391021,41.400415,27.345466,56
391091,41.4077948,27.332944,1
391091,41.4084923,27.3511158,2
391060,41.400395,27.345424,1
391060,41.400602,27.345426,2
391060,41.401082,27.34572,3
391060,41.401273,27.346046,4
391060,41.401928,27.34396,5
391060,41.403892,27.345118,6
391060,41.403475,27.347434,7
391060,41.404365,27.347686,8
391060,41.40439,27.347363,9
391060,41.404155,27.347271,10
391060,41.404018,27.3473,11
391060,41.404016,27.3475,12
391060,41.404222,27.347553,13
391060,41.404418,27.347481,14
391060,41.404461,27.347714,15
391060,41.405584,27.347763,16
391060,41.406672,27.347871,17
391060,41.405306,27.352068,18
391060,41.404564,27.353703,19
391060,41.403571,27.355571,20
391060,41.402056,27.354999,21
391060,41.401295,27.354731,22
391060,41.399886,27.354123,23
391060,41.400352,27.349506,24
391060,41.399024,27.348915,25
391060,41.398817,27.34982,26
391060,41.397163,27.34908,27
391060,41.39732,27.348115,28
391060,41.394662,27.347287,29
391060,41.391984,27.34632,30
391060,41.391896,27.348311,31
391060,41.391803,27.348459,32
391060,41.391484,27.349246,33
391060,41.391166,27.350369,34
391060,41.38972,27.349498,35
391060,41.388129,27.348592,36
391060,41.386426,27.347805,37
